"","JSD","total_RMSE","Olig","astrocytes","eNeuron","endo_mural","iNeuron","microglia"
"seqFISH_10000.RCTD.norm3",0.23685,0.244359862796233,0.219675394257924,0.270157991587526,0.243190260832644,0.342920298845414,0.187987753554395,0.15796393956621
"seqFISH_10000.Redeconve.norm3",0.22996,0.249265107436249,0.231496941555785,0.308675702375275,0.222676407976555,0.344334301531087,0.191476699246454,0.138249120395451
