index,Oligo,Inh,Ext_Thal,Inh_Meis2,Ext_L23,Ext_L25,Ext_L56,Ext_L5,Ext_Hpc_DG2,Ext_Pir,OPC,Micro,Unk,Inh_Pvalb,Ext_L6,Ext_Hpc_CA1,Ext_Amy,Inh_Sst,Astro_CTX,Inh_Vip,Astro_HYPO,Ext_Hpc_DG1,Astro_THAL_med,Astro_AMY_CTX,LowQ,Nb,Astro_THAL_lat,Ext_L6B,Ext_Hpc_CA3,Inh_Lamp5,Ext_ClauPyr,Astro_HPC,Astro_AMY,Ext_Hpc_CA2,Astro_WM,Ext_Med,Astro_THAL_hab,Ext_Unk,Endo,Astro_STR
2795,0.01225919010819939,0.014191244050416156,0.00010250116551816474,0.016301467755359338,0.00011269378438064658,0.0007584110202452324,0.0011224758022467074,0.00015235934385856613,0.00014404133696931101,0.6086739164864625,0.03940729239114923,0.008774593893685564,0.07944786435612673,0.03675126817368916,0.0004028840719624311,0.00026582284941528613,0.0003501958203962922,0.004352595658880105,0.0007071921410195728,0.0002538099123490973,0.037374356429355764,0.023240229088809614,0.00010844583817510103,0.062257581109782856,0.025310125764973115,0.018966636017034234,0.0008527689259307848,3.062569510469271e-05,9.749835130069566e-06,0.001137122398323892,3.508623876060873e-05,4.089833434007988e-05,0.005184274568642822,0.00011451611657271291,0.0004412536047562807,4.967703162595651e-06,0.00024797211534109497,3.4480962356453553e-06,4.053545979163229e-05,6.758653744691001e-05
2796,0.015583424042312131,0.04504751853089672,0.006897150199117104,0.021713164713402695,0.005084025220260035,0.055122103927830735,0.009866948349912308,0.00027516172150224917,0.0061905589124791474,0.15304806362834764,0.0008941589033620846,0.08785138034830754,0.070718799163093,1.2997084758020765e-05,9.843255579436338e-05,0.00013537625994803484,0.00255497778889518,4.7658917165677115e-05,0.0006073283131837794,0.024735859493943965,0.012596968141586468,0.11203561036092918,0.005236826792106956,0.059779473593138226,0.01667667747449415,0.01223226723625509,0.02563996291382933,2.5456832455562848e-05,1.143440980448651e-06,0.04811887636716335,1.3125521874784251e-05,0.062162515612129515,0.09375375172437522,3.506122548707962e-06,0.00106003955925413,1.124819952359694e-05,9.322117967782937e-06,3.157556217666894e-06,0.04410401257343657,5.0969785220857654e-05
2797,0.010424641782118299,0.017013758207305645,0.0002132860626962497,0.0004619556101620539,0.0003175328297177376,0.00010152848817931384,0.0018627837094614213,5.6857768949188484e-05,0.000320642131057577,0.5564630335792813,0.04157626670568843,0.026246240624508026,0.056316161731604836,0.0001943043798414304,0.00010612239551853955,0.0002189853936100343,0.0001926916064176367,0.04499561863124385,0.006092952116468984,0.02029885134563503,0.034022006033799984,0.0002919695122725136,0.011238970782137349,0.0003480041301670427,0.00028602088507855976,0.022687845867549464,0.000779906307150896,0.00025164257884291165,5.851137561957264e-05,0.13105444142020334,7.5681738760053e-05,0.004754624924428839,0.0003041243018852843,1.1907770466425615e-05,0.004319420949437071,1.5173936573111963e-05,3.223873311946534e-06,4.1772817070959664e-05,0.005931783080746679,4.875261503245218e-05
2798,0.012093768846127461,0.04758817738014738,0.0001620237147915352,0.013735142173006419,4.5549448657313375e-05,0.00011274869973039831,0.0054108360588561106,0.00010303486851294475,0.0007407855552527818,0.4685293197797554,0.010575242602893201,0.05068458323716957,0.06685045735609522,0.014433038490275567,0.00035709089605883776,4.45228462319018e-05,7.584812316280628e-05,0.05416143774928578,0.015419143260232207,0.0001383915885411805,0.0003253477022532381,0.0008787163151216051,0.0003586129627951271,0.10001888028042608,6.624803518395332e-05,0.02507422795548046,0.0002812964658636531,0.0369474552525603,1.804759685902224e-05,0.002724517095100438,3.558590081426743e-05,0.00013648062981107465,0.06562871438963504,3.9819935567957765e-06,2.0973379506163376e-05,1.5880034910719285e-05,7.353528370991447e-05,4.053223422767039e-06,0.006079392009693194,4.6910818512178123e-05
2799,0.013369346748611797,0.02281363243717756,3.776131743003775e-05,0.00019112605952139008,8.969236064744805e-06,0.0001732400568882664,1.5149159405335603e-05,2.0204643233437785e-05,0.002115584198859949,0.4830439678032026,0.012402160203689463,0.03629845630204109,0.026634429582424117,4.271073461957728e-05,4.997648730209016e-05,1.3382571633996543e-05,3.6029217204414106e-05,0.12843949056600723,0.02355667938960224,5.734534032590004e-05,0.0008271441276843806,0.012180650782445058,0.037609071487720164,0.001311370596677789,3.5792882564559695e-05,0.02674823414781132,0.00015185130552553648,0.00010413808945103455,5.45685600189976e-05,0.1633529789128829,4.870895602481278e-05,0.0018242614302018036,0.00032085777842058474,7.232318059109309e-06,2.805119692056278e-05,2.7657804765714484e-06,2.755147017918001e-05,1.6925009119103837e-06,0.006035304341802624,8.13127897590934e-06
2800,0.009966670489375218,0.03759852616868401,0.00010461142825654804,0.0005397758949618881,0.004207486765174585,0.00036284494942698427,9.751703413610325e-05,3.9708051450888106e-05,8.33299923545081e-05,0.3851608648211458,0.018273039120113205,0.014063560717034379,0.03949067453102036,6.687284344287425e-05,6.113266329963972e-05,1.6032818305094084e-05,0.00024970529745544853,0.06381567246283279,3.636640388360651e-05,0.00017924444442385978,0.00035533503959927625,0.0034352942250994345,0.0003068431340401522,0.0015555239031268782,7.70351866382042e-05,0.03578745883114698,0.0005460321302258211,0.0030193778706337536,5.385818326505929e-06,0.00010180027612880273,4.469102938618749e-06,0.00015720273905260457,0.037681026154573076,2.209061761045659e-06,1.0325960807489578e-05,4.049651797742773e-06,0.33630664903932084,4.763340028325519e-06,0.0062224447425323305,3.1368954442696216e-06
2801,0.020806196199912027,0.07560185635374643,2.4900114428336224e-05,0.0007190518976495836,9.984802277893325e-05,4.2688380925536145e-05,0.00019811306947138283,0.00020371814511614225,0.07508979039366569,0.29648546299958745,0.07698551140017756,0.05429802840864539,0.0005570447459159042,0.06915503416600671,0.00016570486499232448,2.22881068603054e-05,4.072824090922581e-05,0.00019033715837116707,0.0002549834461201939,0.019545329607261658,0.00044766940619885405,0.0003451765143575088,0.10066814365162115,0.0009833860123400564,0.0001560657043070093,0.0001242147157950423,0.00016434808764414382,0.00023720691086777113,6.136526067773997e-06,0.0001378259275702033,3.3586175034886535e-05,0.00030630783399533,0.15565669257442225,2.2041029515640994e-05,0.04996010253029804,1.5211730249345455e-05,3.324123181716333e-05,1.7874891440665787e-05,0.00013356952480465424,6.458329911055089e-05
2802,0.009501754351655338,0.08335894388052133,0.0005232684206834695,0.02019750591265941,8.369332024683559e-05,1.4910244766248625e-05,0.00025528234091764363,0.0003494313173183769,0.0024698300576717763,0.41879065216463107,0.013104462413382324,0.02941292685657169,0.002231920454767248,0.00018868046316872233,5.679419168784517e-05,0.0003388366551398721,1.8106304127621642e-05,0.03765469374048022,0.0029045049832551323,0.0024629463383320778,0.07366855431847917,0.005663917630619153,0.0006682747601847672,0.06779548545152565,0.0009574149498059065,0.22453852834954025,0.00037281013194802266,6.043404346199743e-05,5.379216995675333e-06,0.00019886679459077042,8.900081487113039e-05,0.00017821780169093534,0.0012535592465550635,0.00022798847175160616,5.9406041258264105e-05,9.273586926534086e-05,1.6242140917467065e-05,6.49959575729122e-06,0.00019124226448647653,3.629769431082156e-05
2803,0.02148195884994447,0.14492152641135433,0.00014266845565749607,0.03175406508585822,0.0007620938430820745,0.00035041919466822586,0.0008269728243987621,0.0001704022196981523,0.007342804404702241,0.38620782049222163,0.007900718543627915,0.017571190849871226,0.021010288219202568,0.00040922020042125166,0.00024882311906685003,0.000201426626999881,6.385508146844186e-05,0.0003822945058126393,0.004694265357030887,0.0049373662658311265,0.0012406539239917067,0.0009382367228879678,0.01037757691966626,0.0026161918592862805,0.0021911413413906,0.013627999244046,0.0021740711167596706,0.0005349236910639732,4.311081331840386e-05,0.043356872782169424,2.665025378169043e-05,0.0003606885566715857,0.2607346430195165,5.900279094021723e-05,4.431220665265879e-05,0.00018813494044608555,1.8533174977094216e-05,4.111986230545452e-05,0.009987787214539502,5.816901467056692e-05
2804,0.022743768256320594,0.28299299575082326,0.00016633641101428695,0.08371569067540385,0.00022062870756547824,0.0001252754499040154,0.0013344033649388054,0.0005899962460840886,0.006187276569507766,0.0005432296979819386,0.006548994199633612,0.022192936244836956,0.00033852508983355786,0.0002104779643618892,0.00032045851192959396,0.00010897063563273916,5.1964522667509675e-05,0.0013840392429943938,0.00037847100226346054,0.004248546955860972,0.062037775957466845,0.0005033852327710004,0.036253218311168234,0.00025825832053892427,0.0017367255027220068,0.08891706485897297,0.0011308036076197164,0.00011089524020433478,5.170255153224095e-06,0.0003811334530904161,1.945897013150929e-05,0.0001979829846076481,0.37358836467507384,7.456960456923355e-06,9.586352654701766e-05,6.555524749979127e-05,0.00015496233890839974,1.0513674540332227e-05,7.151858480869233e-05,5.09067981594222e-05
